city_ascii_wc,parameter,value_mean_mean,value_median_median,value_std_mean,value_min_min,value_max_max,value_count_sum,annee_debut,annee_fin,nb_annees,inclut_covid,population_wc_first,lat_wc_first,lon_wc_first,country_iso3_wc_first,country_iso2_wc_first,country_name_first,region_first,income_level_first,acces_eau_potable_pct_mean,agriculture_pct_pib_mean,consommation_privee_mean,croissance_pib_mean,croissance_urbaine_mean,densite_population_mean,eau_douce_km3_mean,electricite_charbon_pct_mean,electricite_par_habitant_mean,energie_par_habitant_mean,energie_renouvelable_pct_mean,esperance_vie_mean,foret_pct_mean,indice_gini_mean,industrie_pct_pib_mean,passagers_aeriens_mean,pertes_electricite_pct_mean,pib_par_habitant_mean,pib_total_mean,pop_urbaine_pct_mean,population_totale_mean,scolarisation_secondaire_pct_mean,services_pct_pib_mean,superficie_km2_mean,voies_ferrees_km_mean,intensite_energetique_mean,ratio_charbon_renouvelables_mean,secteur_secondaire_pct_mean,niveau_developpement_first,niveau_urbanisation_first,mix_energetique_first,taille_ville_first,periode,robustesse,controle_covid,mesures_par_jour,qualite_donnees,coeff_variation
Abidjan,pm25,21.686304071101066,18.0,13.795490430845765,0.0,360.0,19813,2020,2023,4,1,4980000.0,5.3364,-4.0267,CIV,CI,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,38.1909901808959,16.41063987338255,1375.4799775230051,5.190735443747849,3.487511262300135,94.4306926100629,1.162,0.0,307.2741405919783,438.5023687749437,60.0,60.984,8.387995047169813,35.3,22.437604562291774,556574.0,15.109140615682135,2390.26195314133,71881406710.56863,52.60272185237717,30028960.25,57.651541495214246,53.727480769795974,318000.0,639.0,0.18828405868435924,0.0,38.848244435674324,Faible,Semi-urbain,Renouvelable,Moyenne,2019-2023,Maximale (5 ans),OUI,10.850492880613363,Élevée,0.6358451829231603
Addis Ababa,pm25,25.19190653742002,21.0,19.108468708027207,0.0,985.0,44530,2019,2023,5,1,5704000.0,9.03,38.74,ETH,ET,Ethiopia,Sub-Saharan Africa ,Not classified,9.34775603032442,36.03988322214084,555.5007982927443,6.396230638772782,4.737496145449586,108.25954642647821,10.5481,0.0,90.5030805616265,379.6794831761705,90.2,66.2504,15.059866166551199,31.1,23.39517898481002,10136066.2,21.69065441834865,910.8376285279046,111719337282.87651,22.15536003112792,122173924.2,,36.80943589127262,1128529.1,,0.43674719158212827,0.0,59.43506220695086,Faible,Rural,Renouvelable,Grande,2019-2023,Maximale (5 ans),OUI,24.386637458926614,Élevée,0.7582152040622314
Algiers,pm25,19.293960605895595,18.0,11.290347753629295,0.0,265.0,28494,2019,2023,5,1,2364230.0,36.7325,3.0872,DZA,DZ,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,85.91632180680878,11.91301854675534,1833.053309809864,1.4800000000298075,2.423047510565604,18.78788986203362,10.3165833325,0.0,1701.8354338026122,1458.311484152576,0.13333333333333333,75.3074,0.8222217874327175,,36.1038336341108,4388805.67,10.562741897690614,4540.667043381118,203613962919.0366,73.61377703862074,44747868.8,102.9075813293455,48.013239172878,2381740.0,4010.375,0.3250398424010429,0.0,48.01685218086614,Faible,Urbain,Fossile,Moyenne,2019-2023,Maximale (5 ans),OUI,15.60460021905805,Élevée,0.5848720883827915
Almaty,pm25,33.79076857864183,17.0,42.34596938312543,0.0,421.0,21870,2020,2023,4,1,2228675.0,43.24,76.915,KAZ,KZ,Kazakhstan,Europe & Central Asia,Upper middle income,97.95042017213315,4.873358138582195,6031.46995428906,2.5250000001145776,2.5235037271505925,7.3703034596436625,24.689333333333334,62.96546187568677,5261.37177706658,3521.4703331804426,1.9,72.30775,1.2958992110234449,28.95,33.9431521264446,8921953.39125,8.07064190472775,10724.96904580775,213882762801.863,61.05440572790057,19897608.25,93.88554737177202,54.75263131056995,2699700.0,16034.3,0.3338331532683446,22.703800485042937,38.8165102650268,Moyen-Faible,Semi-urbain,Fossile,Moyenne,2019-2023,Maximale (5 ans),OUI,11.976998904709749,Élevée,1.2528108431795595
Amman,o3,0.03440574487952755,0.036,0.015636469731701498,0.0,0.1,5332,2022,2023,2,0,4007526.0,31.9497,35.9328,JOR,JO,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,96.5731686364341,4.814911379639425,,2.7657592709687053,1.9622188314806401,127.7984773745975,0.94987,,1790.64757104556,754.305503117865,,77.451,1.09804716534901,,24.64225779570825,3455640.5,10.958904109589,4399.16737053253,49926719859.15495,92.54353738747615,11347738.0,91.4804751340448,60.609981761520245,88794.0,,0.1740737840598825,,29.457169175347673,Faible,Très urbain,,Moyenne,2019-2023,Maximale (5 ans),OUI,2.9200438116100766,Moyenne,0.35212718025839046
Amman,pm25,18.80311939535219,14.5,11.606165591517076,0.0,727.0,19788,2019,2023,4,1,4007526.0,31.9497,35.9328,JOR,JO,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,96.73214244432853,4.662083783902485,,1.5450018593773,2.0954198003857427,124.53711680969451,0.9497433333333333,0.0,1743.37163219108,773.610782286135,9.6,76.83749999999999,1.09804716534901,,24.237503411658473,2801494.5,10.957955811420367,4247.622319256265,47014207288.73242,92.1061783916728,11058148.75,90.66768176091432,61.0548545427566,88794.0,,0.18543368935673063,0.0,28.89958719556096,Faible,Très urbain,Fossile,Moyenne,2019-2023,Maximale (5 ans),OUI,10.836801752464403,Élevée,0.6169187229197299
Amsterdam,co,0.343132346871251,0.3243,0.12198854558184587,0.1117,1.4123,11011,2019,2023,5,1,1477213.0,52.3728,4.8936,NLD,NL,Netherlands,Europe & Central Asia,High income,97.67828294345902,1.708853022293574,20875.13947496646,1.8236214592308433,1.313621135055157,522.1117730917732,8.222475,12.411352072792328,6530.177578475314,3830.1671087494624,10.5,81.66195121951222,11.00195841995842,26.96666666666667,17.80374881656628,31494437.0022,4.017821558117418,57960.74764323186,1019590531165.3757,94.61605899337988,17579503.4,132.6665466308594,69.72817361477823,33670.0,3065.6666666666665,0.0666242336213261,1.165768568272117,19.512601838859855,Élevé,Très urbain,Fossile,Moyenne,2019-2023,Maximale (5 ans),OUI,6.030120481927711,Moyenne,0.3454471012430981
Amsterdam,no2,26.369931003515795,22.2,17.47963876944865,0.0,346.8,22485,2019,2023,5,1,1477213.0,52.3728,4.8936,NLD,NL,Netherlands,Europe & Central Asia,High income,97.67828294345902,1.708853022293574,20875.13947496646,1.8236214592308433,1.313621135055157,522.1117730917732,8.222475,12.411352072792328,6530.177578475314,3830.1671087494624,10.5,81.66195121951222,11.00195841995842,26.96666666666667,17.80374881656628,31494437.0022,4.017821558117418,57960.74764323186,1019590531165.3757,94.61605899337988,17579503.4,132.6665466308594,69.72817361477823,33670.0,3065.6666666666665,0.0666242336213261,1.165768568272117,19.512601838859855,Élevé,Très urbain,Fossile,Moyenne,2019-2023,Maximale (5 ans),OUI,12.31380065717415,Élevée,0.6626112390938036
Amsterdam,o3,45.932928719442224,42.4,24.216457778475686,0.0,176.0,11090,2019,2023,5,1,1477213.0,52.3728,4.8936,NLD,NL,Netherlands,Europe & Central Asia,High income,97.67828294345902,1.708853022293574,20875.13947496646,1.8236214592308433,1.313621135055157,522.1117730917732,8.222475,12.411352072792328,6530.177578475314,3830.1671087494624,10.5,81.66195121951222,11.00195841995842,26.96666666666667,17.80374881656628,31494437.0022,4.017821558117418,57960.74764323186,1019590531165.3757,94.61605899337988,17579503.4,132.6665466308594,69.72817361477823,33670.0,3065.6666666666665,0.0666242336213261,1.165768568272117,19.512601838859855,Élevé,Très urbain,Fossile,Moyenne,2019-2023,Maximale (5 ans),OUI,6.073384446878423,Moyenne,0.5270986951301543
Amsterdam,pm10,18.454302843859324,15.8,13.373883085290071,0.0,287.1,11157,2019,2023,5,1,1477213.0,52.3728,4.8936,NLD,NL,Netherlands,Europe & Central Asia,High income,97.67828294345902,1.708853022293574,20875.13947496646,1.8236214592308433,1.313621135055157,522.1117730917732,8.222475,12.411352072792328,6530.177578475314,3830.1671087494624,10.5,81.66195121951222,11.00195841995842,26.96666666666667,17.80374881656628,31494437.0022,4.017821558117418,57960.74764323186,1019590531165.3757,94.61605899337988,17579503.4,132.6665466308594,69.72817361477823,33670.0,3065.6666666666665,0.0666242336213261,1.165768568272117,19.512601838859855,Élevé,Très urbain,Fossile,Moyenne,2019-2023,Maximale (5 ans),OUI,6.110076670317635,Moyenne,0.7243102108097097
